wavelength [nm],Power [mW],Replicate
700,650,1
710,650,1
720,600,1
730,600,1
740,670,1
750,740,1
760,790,1
770,790,1
780,750,1
790,800,1
800,840,1
810,850,1
820,800,1
830,800,1
840,840,1
850,850,1
860,750,1
870,790,1
880,940,1
890,960,1
900,930,1
910,860,1
920,760,1
930,670,1
940,620,1
950,610,1
960,600,1
970,640,1
980,660,1
990,660,1
1000,600,1
1010,520,1
1020,430,1
1030,300,1
1040,210,1
1050,140,1
1060,0,1
1070,0,1
1080,0,1
700,740,2
710,750,2
720,720,2
730,720,2
740,780,2
750,840,2
760,880,2
770,880,2
780,860,2
790,890,2
800,950,2
810,940,2
820,910,2
830,900,2
840,930,2
850,950,2
860,850,2
870,880,2
880,1010,2
890,1030,2
900,1000,2
910,930,2
920,830,2
930,740,2
940,680,2
950,660,2
960,670,2
970,710,2
980,720,2
990,710,2
1000,640,2
1010,570,2
1020,470,2
1030,350,2
1040,240,2
1050,170,2
1060,140,2
1070,0,2
1080,190,2
700,740,3
710,780,3
720,750,3
730,750,3
740,800,3
750,860,3
760,900,3
770,900,3
780,900,3
790,920,3
800,960,3
810,960,3
820,930,3
830,930,3
840,950,3
850,970,3
860,890,3
870,910,3
880,1040,3
890,1050,3
900,1030,3
910,950,3
920,860,3
930,770,3
940,710,3
950,700,3
960,700,3
970,710,3
980,740,3
990,740,3
1000,680,3
1010,590,3
1020,500,3
1030,370,3
1040,260,3
1050,200,3
1060,170,3
1070,170,3
1080,190,3
700,760,4
710,780,4
720,740,4
730,750,4
740,800,4
750,850,4
760,900,4
770,900,4
780,870,4
790,910,4
800,950,4
810,960,4
820,930,4
830,920,4
840,940,4
850,960,4
860,880,4
870,910,4
880,1040,4
890,1050,4
900,1030,4
910,950,4
920,850,4
930,760,4
940,700,4
950,690,4
960,700,4
970,720,4
980,740,4
990,730,4
1000,670,4
1010,590,4
1020,490,4
1030,370,4
1040,260,4
1050,200,4
1060,160,4
1070,170,4
1080,180,4
