681.242, 0.573
683.183, 0.596
686.250, 0.615
688.448, 0.643
690.574, 0.663
692.700, 0.683
694.826, 0.704
697.560, 0.724
699.504, 0.746
702.268, 0.766
704.749, 0.784
707.229, 0.806
709.828, 0.832
712.403, 0.854
715.096, 0.874
717.860, 0.896
720.695, 0.916
723.530, 0.936
726.365, 0.955
729.909, 0.974
733.453, 0.998
740.186, 1.041
743.730, 1.061
747.273, 1.080
750.817, 1.098
754.715, 1.117
758.968, 1.138
763.220, 1.156
767.473, 1.174
771.017, 1.187
774.560, 1.204
783.065, 1.233
787.318, 1.244
791.570, 1.256
795.823, 1.265
800.075, 1.273
804.328, 1.280
808.580, 1.287
812.833, 1.292
817.085, 1.297
821.338, 1.301
825.590, 1.305
829.842, 1.308
834.095, 1.310
838.347, 1.313
842.600, 1.313
846.852, 1.313
851.105, 1.313
855.357, 1.310
859.610, 1.306
863.862, 1.302
868.115, 1.298
872.367, 1.293
876.620, 1.288
880.872, 1.282
885.125, 1.276
889.377, 1.269
893.630, 1.263
897.882, 1.256
902.135, 1.249
906.387, 1.241
910.640, 1.234
914.892, 1.226
919.145, 1.216
923.397, 1.207
927.650, 1.201
931.902, 1.193
936.155, 1.187
940.407, 1.172
944.659, 1.162
948.912, 1.152
953.164, 1.143
957.417, 1.133
961.669, 1.123
965.922, 1.112
970.174, 1.101
974.427, 1.092
978.679, 1.082
982.932, 1.072
987.184, 1.062
991.437, 1.052
995.689, 1.043
999.942, 1.034
1004.194, 1.024
1008.801, 1.011
1012.699, 1.004
1016.952, 0.997
1021.558, 0.987
1029.709, 0.970
1033.962, 0.961
1038.214, 0.953
1042.467, 0.945
1046.719, 0.937
1050.971, 0.929
1055.224, 0.921
1059.476, 0.913
1063.729, 0.906
1067.981, 0.899
1072.234, 0.891
1076.486, 0.884
1080.739, 0.877
1084.991, 0.871
1089.244, 0.864
1093.496, 0.857
1097.749, 0.851
1102.001, 0.844
1106.254, 0.838
1110.506, 0.833
1114.759, 0.828
1119.011, 0.824
1123.335, 0.820
1129.642, 0.812
1133.895, 0.810
1138.147, 0.807
1142.400, 0.806
1146.652, 0.803
1150.905, 0.802
1155.157, 0.799
1159.410, 0.798
1163.662, 0.797
1167.915, 0.796
1172.167, 0.795
1176.420, 0.793
1181.027, 0.789
1184.925, 0.788
1189.177, 0.787
1197.682, 0.777
1201.935, 0.774
1206.187, 0.770
1210.440, 0.766
1214.692, 0.762
1218.944, 0.757
1223.197, 0.752
1227.449, 0.747
1231.702, 0.741
1235.954, 0.735
1240.207, 0.729
1244.459, 0.722
1248.712, 0.714
1252.964, 0.706
1257.217, 0.696
1261.469, 0.685
1265.722, 0.674
1269.974, 0.662
1274.227, 0.649
1278.479, 0.636
1287.339, 0.602
1294.603, 0.579
1298.324, 0.566
1283.170, 0.620
1025.275, 0.979
778.947, 1.220
736.536, 1.020
